PLUIDM|PLUIGR|DESKRIPSI|SALDO_AWAL|BPB_QTY|BPBR_QTY|MPP_QTY|ADJP_QTY|DSPB_QTY|MPN_QTY|ADJM_QTY|SALDO_AKHIR
20112743|1506800|"PONDS SERUM WHIP FACIAL FOAM BRIGHT BEAUTY TUB 100g"|-337|72|0|0|0|75|0|0|-340
20103330|1508240|"LIFEBUOY HAND SANITIZER SKIN IMMUNITY TOTAL 10 BTL 90mL"|0|0|0|0|0|0|0|0|0
20104003|1509280|"RINSO DETERJEN MATIC+MOLTO  BAG 2kg"|-1|12|0|0|0|20|0|0|-9
20094961|1510860|"WIPOL PEMBERSIH LANTAI REF LEMON PINE PCH 220/200mL"|-3292|0|0|0|0|66|0|0|-3358
20095012|1511640|"BANGO BUMBU NASI GORENG KAMBING PCK 40g"|-56|0|0|0|0|132|0|0|-188
20095013|1511660|"BANGO BUMBU SOTO BETAWI  PCK 45g"|-313|0|0|0|0|100|0|0|-413
20095015|1511690|"BANGO BUMBU OPOR AYAM KHAS CEPU  PCK 35g"|-723|96|0|0|0|91|0|0|-718
20076432|1514560|"SUNSILK SHAMPOO HIJAB REFRESH BTL 340mL"|-98|72|0|0|0|45|0|0|-71
20088631|1516220|"CLOSE UP PASTA GIGI WHITE ATTRACTION NATURAL SMILE TUB 100g"|-305|0|0|0|0|40|0|0|-345
20048546|1518040|"HEMAVITON HEALTH DRINK VITAMIN C1000 ORANGE KLG 330mL"|-1172|0|160|0|0|60|0|0|-1072
10031393|1521420|"ROYCO SUP KRIM (19144) JAGUNG PCK 50g"|-33|48|0|0|0|37|0|0|-22
20116901|1521990|"IPI VITAMIN C JERUK BTL 90'S"|-27|0|0|0|0|3|0|0|-30
20122296|1522360|"PONDS AGE MIRACLE SERUM ULTIMATE YOUTH PCS 7g"|-543|0|0|0|0|38|0|0|-581
20122347|1522470|"DOWNY SOFTENER ADORABL BOUQUET PCH 900mL"|-45|0|0|0|0|49|0|0|-94
20095140|1523930|"PANTENE SHAMPOO HIJAB ANTI DANDRUFF BTL 135mL"|-237|0|0|0|0|0|0|0|-237
20095139|1523940|"PANTENE SHAMPOO HIJAB HAIR FALL CNTRL BTL 135mL"|-182|0|0|0|0|0|0|0|-182
20094326|1524900|"WIPOL PEMBERSIH LANTAI REF CLASSIC PINE PCH 220/200mL"|-2309|576|0|0|0|215|0|0|-1948
20102725|1525080|"SUNLIGHT PENCUCI PIRING REF MINT ANTI BAU PCH 210mL"|-212|0|0|0|0|408|0|0|-620
20103178|1525370|"HEMAVITON HEALTH DRINK VITAMIN C1000 LESS SGR ORANGE KLG 330mL"|-680|0|795|0|0|3|0|0|112
20103170|1525540|"VASELINE HEALTHY BRIGHT VIT.BODY SERUM SOFT + GLOW TUB 180mL"|-747|0|0|0|0|436|0|0|-1183
20103168|1525580|"MARINA HAND BODY LOTION UV WHITE E COLLAGEN ASTA BTL 185mL"|-897|336|0|0|0|179|0|0|-740
20103167|1525880|"MY BABY HAIR & BODY WASH REFILL  PCH 400mL"|-630|72|0|0|0|48|0|0|-606
20103266|1525930|"MY BABY KIDS SHAMPOO & CONDITIONER HEALTHY & FRESH BTL 180mL"|-248|0|0|0|0|61|0|0|-309
20103267|1525960|"MY BABY BABY POWDER TELON PLUS BTL 250+63g"|-390|216|0|0|0|35|0|0|-209
20067200|1529200|"BUAVITA JUICE (79367) NEW GUAVA TPK 1000mL"|162|0|2|0|0|62|0|0|102
20067201|1529210|"BUAVITA JUICE (79425) NEW MANGO TPK 1000mL"|61|48|0|0|0|48|0|0|61
20067242|1529240|"SUNSILK SHAMPOO CO-CREATIONS BLACK SHINE BTL 340/320mL"|635|0|0|0|0|14|0|0|621
20067245|1529250|"SUNSILK SHAMPOO CO-CREATIONS SOFT & SMOOTH BTL 340/320mL"|118|0|0|0|0|22|0|0|96
20067246|1529260|"SUNSILK KONDISIONER CO-CREATIONS BLACK SHINE BTL 170/160mL"|-168|72|0|0|0|59|0|0|-155
20067247|1529270|"SUNSILK KONDISIONER CO-CREATIONS SOFT & SMOOTH BTL 170/160mL"|46|0|0|0|0|45|0|0|1
20067359|1529280|"SUNSILK SHAMPOO HIJAB REFRESH BTL 170mL"|-1368|0|0|0|0|126|0|0|-1494
20067449|1529310|"GLOW & LOVELY MULTIVITAMIN FACIAL FOAM 39484  TUB 100g"|1140|552|0|0|0|258|0|0|1434
20067961|1529420|"LIFEBUOY SABUN MANDI TS (46094) MILD CARE BAR 110g"|1486|576|0|0|0|194|0|0|1868
20067962|1529450|"LIFEBUOY SABUN MANDI TS (46093) TOTAL 10 BAR 110g"|3080|0|0|0|0|232|0|0|2848
20067963|1529460|"LIFEBUOY SABUN MANDI TS MULTIPACK 05966 MILD CARE BDD 4x60g"|-59|0|0|0|0|140|0|0|-199
20067964|1529470|"LIFEBUOY SABUN MANDI TS MULTIPACK 06105 TOTAL 10 BDD 4x60g"|1332|0|0|0|0|20|0|0|1312
20071828|1529490|"RINSO DETERJEN POWDER + MOLTO ROSE FRESH BAG 1.8Kg"|116|0|0|0|0|6|0|0|110
20072673|1529610|"ZWITSAL BABY BATH NATURAL 2 IN 1 HAIR & BODY BTL 300mL"|-278|0|0|0|0|50|0|0|-328
20072834|1529800|"PONDS PELEMBAB WAJAH AGE MIRACLE NEW DAY CREAM POT 10g"|43|0|0|0|0|76|0|0|-33
20072835|1529810|"PONDS PELEMBAB WAJAH AGE MIRACLE NEW NIGHT CREAM POT 10g"|-200|0|0|0|0|31|0|0|-231
20041399|1531880|"LIFEBUOY SABUN MANDI CAIR REFILL LEMON FRESH PCH 450/400mL"|-10|264|0|0|0|376|0|0|-122
20041400|1531890|"LIFEBUOY BODY WASH (48091) LEMON FRESH BTL 100mL"|-1488|108|0|0|0|146|0|0|-1526
20041266|1532120|"PEPSODENT PASTA GIGI ACTION 123 COMPLETE  TUB 190g"|-400|0|0|0|0|176|0|0|-576
20075742|1533900|"PEPSODENT SIKAT GIGI SILVER CHARCOAL  PCS SOFT"|-112|192|0|0|0|192|0|0|-112
20054750|1535170|"RINSO DETERJEN LIQUID + MOLTO PERFUME ESSENCE PCH 750/565mL"|-2066|0|0|0|0|482|0|0|-2548
20054964|1535310|"HEAD &SHOULDERS SHAMPOO A/D CLEAN & BALANCE BTL 300mL"|-438|0|0|0|0|12|0|0|-450
20024922|1540910|"ORAL B SIKAT GIGI ALL ROUNDER 123 3'S CLEAN PCS MEDIUM"|-550|384|0|0|0|92|0|0|-258
20104271|1543740|"VASELINE LIP THERAPY ROSY LIPS PCS 4.8g"|-683|0|0|0|0|0|0|0|-683
20109507|1544920|"HEAD &SHOULDERS SHAMPOO A/D LEMON FRESH BTL 400mL"|74|90|0|0|0|107|0|0|57
20114752|1544980|"DOWNY SOFTENER FRESH BOUQUET PCH 550mL"|91|492|0|0|0|184|0|0|399
20114753|1544990|"DOWNY SOFTENER ADORABL BOUQUET PCH 550mL"|172|648|0|0|0|228|0|0|592
20114849|1545040|"PONDS BRIGHT BEAUTY POWER SERUM  PCS 7.5g"|-14|36|0|0|0|39|0|0|-17
20115145|1545310|"LIFEBUOY SABUN MANDI CAIR REFILL JPN SHISO&MNRAL PCH 450mL"|19|0|0|0|0|49|0|0|-30
20119096|1547010|"PEPSODENT SIKAT GIGI BRILIAN 3'S  PCK SOFT"|0|0|0|0|0|0|0|0|0
20119094|1547030|"PEPSODENT SIKAT GIGI EXPERT CLEAN 3'S  PCK SOFT"|632|48|0|0|0|154|0|0|526
20119092|1547040|"PEPSODENT SIKAT GIGI SIWAK 2'S  PCK SOFT"|456|0|0|0|0|38|0|0|418
20119089|1547100|"POND'S MEN PEMBERSIH WAJAH OIL CRUSHER TUB 100g"|84|0|0|0|0|26|0|0|58
20075361|1550050|"ZWITSAL BABY BATH NATURAL RICH HONEY PCH 450mL"|24|36|0|0|0|48|0|0|12
20093143|1551130|"PANTENE CONDITIONER TANPA BILAS PERFECT ON PCS 40mL"|30|120|0|0|0|84|0|0|66
20093188|1551240|"RINSO DETERGENT CAIR + MOLTO GOLD ROYAL PCH 565/510mL"|-449|576|0|0|0|500|0|0|-373
20098872|1552350|"VASELINE LIP THERAPY ORIGINAL PCS 7g"|-104|0|0|0|0|0|0|0|-104
20098873|1552380|"VASELINE LIP THERAPY CREME BRULEE PCS 7g"|-78|0|0|0|0|0|0|0|-78
20057224|1553850|"BEBELOVE 1 SUSU BUBUK INFANT FORMULA  BOX 200g"|1920|552|0|0|0|0|0|0|2472
20057230|1553870|"VIDORAN SUSU CAIR KIDS STROBERI TPK 115/110mL"|-160|640|14|0|0|991|0|0|-497
20057229|1553880|"VIDORAN SUSU CAIR KIDS COKLAT TPK 115/110mL"|179|760|19|0|0|2932|0|0|-1974
20067210|1556590|"PONDS PEMBERSIH WAJAH BRIGHT BEAUTY TUB 100g"|-2038|0|0|0|0|88|0|0|-2126
20067204|1556600|"PONDS PEMBERSIH WAJAH (NEW) CLEAR SOLUTION TUB 100g"|276|48|0|0|0|83|0|0|241
20067202|1556620|"PONDS PEMBERSIH WAJAH FACIAL FOAM PURE BRIGHT TUB 100g"|-860|0|0|0|0|48|0|0|-908
20067209|1556650|"PONDS PEMBERSIH WAJAH BRIGHT BEAUTY TUB 50g"|-392|360|0|0|0|100|0|0|-132
20067203|1556670|"PONDS PEMBERSIH WAJAH (NEW) PURE WHITE TUB 50g"|-356|120|0|0|0|80|0|0|-316
20069227|1557810|"GLOW & LOVELY MULTIVITAMIN FACIAL FOAM 39482  TUB 50g"|774|0|0|0|0|28|0|0|746
20033978|1558040|"GILLETTE RAZOR BLUE3 SINGLE  PCS "|-228|560|0|0|0|190|0|0|142
20122479|1562040|"REJOICE SHAMPOO RICH JEJU BTL 340mL"|0|0|0|0|0|25|0|0|-25
20122523|1562050|"MARINA HEALTHY BOOSTER BODY SERUM KAKADU-C BTL 185mL"|0|0|0|0|0|317|0|0|-317
20122606|1562280|"ORAL B SIKAT GIGI ULTRATHIN 3'S CHARCOAL PCK EXTRA SOFT"|146|0|0|0|0|28|0|0|118
20122879|1569160|"RINSO DETERJEN LIQUID + MOLTO KOREAN STRAWBERRY PCH 565mL"|0|0|0|0|0|12|0|0|-12
20122880|1569180|"MOLTO PELEMBUT & PEWANGI PAKAIAN REF KOREAN STRAWBRY PCH 680mL"|0|0|0|0|0|12|0|0|-12
20097540|1573460|"VASELINE BODY LOTION SKIN SERUM CRANBERRY BRGHT BTL 200mL"|-92|18|0|0|0|33|0|0|-107
10000159|1574450|"VICKS INHALER OBAT FLU  TUB "|-1766|0|0|0|0|90|0|0|-1856
20096153|1581870|"PEPSODENT TRAVEL KIT  PCS "|-208|336|0|0|0|227|0|0|-99
20108961|1592930|"JAWARA CABAI TABUR JAMBAL PCH 30g"|-109|0|1|0|0|59|0|0|-167
20108963|1592940|"JAWARA CABAI TABUR BAWANG GORENG PCH 35g"|-178|48|0|0|0|70|0|0|-200
20110215|1593950|"ROYCO BUMBU PELEZAT SERBAGUNA AYAM PCK 6x9g"|302|0|0|0|0|106|0|0|196
20110212|1593960|"ROYCO BUMBU PELEZAT SERBAGUNA SAPI PCK 6x9g"|-42|0|0|0|0|149|0|0|-191
20110117|1593990|"GLOW & LOVELY BRIGHT C GLOW FACIAL FOAM VITAMIN C TUB 100g"|-1075|408|0|0|0|167|0|0|-834
20110114|1594000|"POND'S MEN PEMBERSIH FOAM+SCRUB PORE VACUUM TUB 90g"|18|0|0|0|0|52|0|0|-34
20122042|1595730|"LUX BODY WASH HIJAB ZAITUN & MADU PCH 400mL"|-744|0|0|0|0|28|0|0|-772
20122064|1596120|"MY BABY MINYAK TELON PLUS LAVENDER BTL 60mL"|-228|0|0|0|0|77|0|0|-305
20122070|1596370|"IPI VITAMIN D3  BTL 75'S"|-12|0|0|0|0|6|0|0|-18
20118536|1608340|"PEPSODENT PASTA GIGI HERBAL BOGOF  BDD 2x190g"|-1620|0|0|0|0|0|0|0|-1620
20120201|1626680|"PONDS PEMBERSIH WAJAH BERRY GLOW TUB 90g"|-108|0|0|0|0|21|0|0|-129
20120205|1626700|"PEPSODENT PASTA GIGI HERBAL  BOX 75+25g"|-250|216|0|0|0|140|0|0|-174
20120206|1626710|"PEPSODENT PASTA GIGI HERBAL  BOX 120+30g"|830|0|0|0|0|168|0|0|662
20120424|1627550|"CLEAR SHAMPOO ANTI DANDRUFF ICE COOL MNTHOL BTL 430ml"|-1123|0|0|0|0|115|0|0|-1238
20103368|1630960|"HEMAVITON HEALTH DRINK VITAMIN C1000 LEMON KLG 330mL"|1019|0|826|0|0|27|0|0|1818
20113097|1631690|"TOTALCARE MOUTHWASH ANTI BAKTERIAL SIWAK SALT BTL 250mL"|-226|24|0|0|0|0|0|0|-202
20113003|1631860|"SAHAJA PELEMBUT & PEWANGI KONSENTRAT BUNGA YASMIN PCH 720mL"|0|0|0|0|0|0|0|0|0
20113002|1631890|"MOLTO EAU DE PARFUM ENCHANTING PCH 720mL"|-71|0|0|0|0|0|0|0|-71
20113183|1632260|"RINSO DETERJEN POWDER + MOLTO ROSE FRESH BAG 460g"|-552|72|0|0|0|528|0|0|-1008
20113178|1632400|"SUNSILK VITAMIN HAIR MIST 3IN1  BTL 40mL"|-136|120|0|0|0|146|0|0|-162
20113202|1632500|"CITRA LIGHT BODY LOTION COCOA TUB 180ml"|-51|0|0|0|0|0|0|0|-51
20115157|1632890|"BUAVITA JUICE ORANGE TPK 1000mL"|-300|36|0|0|0|60|0|0|-324
20118252|1633950|"PANTENE MIRACLES SUPLEMENT CONDITIONER COLLAGEN REPAIR TUB 70mL"|-126|216|0|0|0|146|0|0|-56
20121051|1634970|"ROYCO BUMBU KALDU AYAM SPESIAL PCK 40g"|-249|0|1|0|0|37|0|0|-285
20059866|1635380|"LIFEBUOY SABUN MANDI MULTIPACK (45592) TOTAL 10 BDD 4x110g"|-5894|0|24|0|0|6|0|0|-5876
20059867|1635390|"LIFEBUOY SABUN MANDI MULTIPACK (45593) MILD CARE BDD 4x110g"|-3013|0|0|0|0|0|0|0|-3013
20096954|1643570|"REXONA DEO DRY SERUM NAT.BRIGHTENING FRESH SAKURA TUB 50mL"|-23|0|0|0|0|86|0|0|-109
20103617|1643660|"LIFEBUOY ANTIBACTERIAL HANDWASH TOTAL 10 BTL 200mL"|-144|180|0|0|0|218|0|0|-182
20103646|1643680|"SAHAJA SPRAY HIGIENIS SAJADAH&MUKENA  BTL 50mL"|-7|0|0|0|0|0|0|0|-7
20090067|1667770|"SUNLIGHT PENCUCI PIRING REF MINT ANTI BAU PCH 755/700mL"|-2422|0|2|0|0|2|0|0|-2422
20090066|1667800|"WIPOL KARBOL SEREH+JERUK PCH 750mL"|-270|60|0|0|0|34|0|0|-244
20051947|1668260|"LUX SABUN MANDI CAIR PINK PUMP SOFT TOUCH BTL 580mL"|-75|0|0|0|0|33|0|0|-108
20052689|1668290|"AMBI PUR CAR AIR FRESHENER SKY BREEZE PCS 2ml"|288|72|0|0|0|0|0|0|360
20052690|1668300|"AMBI PUR CAR AIR FRESHENER LAVENDER COMFRT PCS 2ml"|288|54|0|0|0|0|0|0|342
20115359|1672380|"MARINA BODY LOTION RICH MOISTURIZING AVOCADO BTL 475mL"|-286|312|3|0|0|144|0|0|-115
20121099|1673050|"VASELINE HIJAB BRIGHT OMEGA NIGHT RENEW NOURISHNG SERUM TUB 180mL"|-198|0|0|0|0|66|0|0|-264
20121467|1673610|"PEPSODENT PASTA GIGI WHITE HERBAL VALUEPACK BDD 2x190g"|48|0|0|0|0|0|0|0|48
20121372|1673830|"RINSO DETERJEN POWDER + MOLTO PERFUME ESSENCE BAG 460g"|-804|0|0|0|0|516|0|0|-1320
20121373|1673850|"SUPER PELL PEMBERSIH LANTAI REF ANTI-BAC CITRUS PCH 500mL"|-518|0|0|0|0|0|0|0|-518
20062309|1675020|"REXONA DEO ROLL ON MEN ULTRA RECHARGE / V8 BTL 45mL"|-922|120|0|0|0|272|0|0|-1074
20062306|1675040|"REXONA DEODORANT ROLL ON MEN ICE COOL BTL 45mL"|-934|0|0|0|0|73|0|0|-1007
20062308|1675050|"REXONA DEODORANT ROLL ON MEN SPORT DEFENCE BTL 45mL"|-869|0|0|0|0|190|0|0|-1059
20062307|1675060|"REXONA DEODORANT ROLL ON MEN INVISIBLE DRY BTL 45mL"|-884|0|0|0|0|236|0|0|-1120
20074434|1686660|"LIFEBUOY SABUN MANDI TS (34270) LEMON FRESH BDD 4x110g"|69|0|20|0|0|4|0|0|85
20086360|1687220|"PANTENE SHAMPOO PRO-V HAIR FALL CNTRL BTL 210mL"|-96|0|0|0|0|14|0|0|-110
20086361|1687230|"PANTENE SHAMPOO PRO-V ANTI DANDRUFF BTL 210mL"|-23|0|0|0|0|18|0|0|-41
20086406|1687360|"CITRA PELEMBAB WAJAH SAKURA FAIR UV  POT 40g"|-210|0|0|0|0|34|0|0|-244
20086422|1687370|"GILLETTE RAZOR BLUE II FLEXI PLUS 3+1'S  PCK "|-126|480|0|0|0|329|0|0|25
20087003|1687730|"MOLTO PELEMBUT & PEWANGI PAKAIAN REF ALL IN 1 BLUE PCH 720/680mL"|-115|36|0|0|0|105|0|0|-184
20087004|1687740|"MOLTO PELEMBUT & PEWANGI PAKAIAN REF ALL IN 1 PINK PCH 720/680mL"|-351|132|0|0|0|209|0|0|-428
20087007|1687770|"RINSO DETERJEN POWDER + MOLTO ROSE FRESH PCK 240/215g"|-12048|0|0|0|0|0|0|0|-12048
20087019|1687860|"BEBELAC 4 SUSU PERTUMBUHAN HIQ-EQ MADU BOX 1000g"|880|0|0|0|0|0|0|0|880
20087027|1687910|"RINSO DETERJEN POWDER + MOLTO PERFUME ESSENCE PCK 240/215g"|-19188|0|0|0|0|0|0|0|-19188
20087202|1688270|"LIFEBUOY SABUN MANDI CAIR REFILL LEMON FRESH PCH 850/8285mL"|-205|0|0|0|0|46|0|0|-251
20087201|1688290|"REXONA DEO ROLL ON MEN MOTIONSENSE INVSBL+ANTIBACT BTL 45mL"|-547|0|0|0|0|27|0|0|-574
20118414|1689480|"MY BABY GIFT SET MINI PCK "|6107|0|11|0|0|114|0|0|6004
20102392|1700620|"SARIWANGI TEH CELUP ASLI BOX 30X1.85g"|-1034|240|0|0|0|464|0|0|-1258
20116108|1704570|"ZWITSAL BABY WIPES RICH MOISTURE PCK 2x40'S"|-338|0|0|0|0|0|0|0|-338
20116527|1705150|"ZWITSAL FACE & BODY CARE CREAM  POT 50g"|-1|96|0|0|0|134|0|0|-39
20094669|1708100|"CITRA HAND & BODY LOTION (NEW) SAKURA FAIR UV BTL 230mL"|-188|48|0|0|0|20|0|0|-160
20104647|1709220|"PONDS PEMBERSIH WAJAH ANTI BACTERIAL TUB 100g"|25|0|0|0|0|27|0|0|-2
20104950|1709680|"RINSO DETERGENT CAIR + MOLTO JAPANESE PEACH PCH 565/510mL"|863|576|0|0|0|415|0|0|1024
20111362|1711170|"REXONA DEO ROLL ON MEN MOTIONSENSE LIME COOL BTL 45mL"|-507|96|0|0|0|157|0|0|-568
20111404|1711180|"GILLETTE RAZOR BLUE II FLEXI  PCK "|-1384|0|0|0|0|224|0|0|-1608
20072006|1714330|"MY BABY MINYAK TELON PLUS LONGER PROTECTION BTL 90mL"|-438|0|0|0|0|64|0|0|-502
20111432|1780680|"PEPSODENT MOUTHWASH ACTIVE DEFENSE  BTL 300mL"|67|0|0|0|0|24|0|0|43
20117107|1781320|"BANGO KECAP MANIS REFILL  PCH 735mL"|-388|0|0|0|0|6|0|0|-394
20117224|1781410|"ORAL B SIKAT GIGI EASY CLEAN HERBAL SOFT PCK 3'S"|-1009|0|0|0|0|0|0|0|-1009
20120613|1781850|"PONDS SERUM WHIP FACIAL FOAM PURE BRIGHT TUB 100g"|132|24|0|0|0|49|0|0|107
20120782|1782030|"VICKS OBAT BATUK FORMULA JAHE MADU BTL 56mL"|-106|72|0|0|0|52|0|0|-86
20120871|1782640|"DOWNY SOFTENER FRENCH LAVENDER PCH 550mL"|-2675|156|0|0|0|21|0|0|-2540
20122746|1817550|"PEPSODENT PASTA GIGI HALAL SIWAK&HABBATUSS TUB 150+40g"|0|0|0|0|0|74|0|0|-74
20094163|1818460|"VASELINE BODY LOTION HEALTHY WHITE FRESH & FAIR BTL 200mL"|45|18|0|0|0|77|0|0|-14
20105336|1824410|"GILLETTE GUARD 3 CARTRIDGE 2'S  PCK "|-423|0|0|0|0|53|0|0|-476
20105337|1824420|"GILLETTE GUARD 3 RAZOR + CARTRIDGE 1'S  PCK "|-197|144|0|0|0|80|0|0|-133
20105340|1824470|"LIFEBUOY SABUN MANDI CAIR REFILL YOGHURT CARE PCH 450mL"|-636|0|0|0|0|10|0|0|-646
20105341|1824490|"AXE BODY SPRAY DEODORANT ICE CHILL KLG 150/135mL"|-202|0|0|0|0|46|0|0|-248
20094320|1831290|"CLEAR SHAMPOO ANTI DANDRUFF FRSH COOL LEMON BTL 160mL"|-471|0|0|0|0|59|0|0|-530
20094209|1831440|"ROYCO SUP KRIM KEPITING&JAGUNG PCK 44g"|-581|0|0|0|0|48|0|0|-629
20113712|1836320|"MOLTO PEWANGI PAKAIAN REFILL FLW.SHOWR(PINK) PCH 280mL"|-217|0|0|0|0|177|0|0|-394
20113713|1836330|"MOLTO PEWANGI PAKAIAN REFILL FLR.BLISS(BLUE) PCH 280mL"|-433|0|0|0|0|0|0|0|-433
20106302|1863410|"VASELINE REPAIRING JELLY ALOE POT 50ml"|-150|0|0|0|0|18|0|0|-168
20106381|1863730|"VIDORAN XMART3+ SUSU PERTUMBUHAN MADU BOX 950g"|102|144|4|0|0|151|0|0|99
20113323|1941770|"CLOSE UP PASTA GIGI WHITE ATTRACTION ACAI BERRY TUB 100g"|-262|0|0|0|0|47|0|0|-309
20113327|1941840|"PONDS AGE MIRACLE SERUM MASK ADVANCED YOUTH PCK 25g"|-52|0|0|0|0|10|0|0|-62
20113328|1941860|"PONDS VITAMIN DUO SHEET MASK VIT.B6 + TOMATO PCK 20g"|-56|0|0|0|0|3|0|0|-59
20113346|1942120|"VIDORAN XMART1+ SUSU PERTUMBUHAN VANILLA BOX 950g"|84|36|0|0|0|0|0|0|120
20108986|1942520|"ZWITSAL EAU DE TOILETTE  BTL 100mL"|-294|0|0|0|0|91|0|0|-385
